DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
-999,12/11/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,12/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,12/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/01/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/02/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/03/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/04/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/05/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/06/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/07/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/08/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/09/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/10/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,01/11/1991 00:00:00,7,SONGLUY,RF,,1,,Manual
